school_id,school_short_name,school_name,street_address,city,state,zip,website,managed_by_network,geographic_network,school_track,overall_rating,on_probation,years_on_probation,growth_overall_level,student_performance_level,over_time_explore_2010,over_time_plan_2011,over_time_act_2012,average_score_explore_2012,average_score_plan_2012,average_score_act_2012,_5_year_cohort_graduation_rate_2011_percent,_5_year_cohort_graduation_rate_2012_percent,one_year_dropout_rate_2011_percent,one_year_dropout_rate_2012_percent,freshman_on_track_to_graduate_2011_percent,freshman_on_track_to_graduate_2012_percent,college_eligibility_2011_percent,college_eligibility_2012_percent,college_enrollment_2011_percent,college_enrollment_2012_percent,college_retention_2009_percent,college_retention_2010_percent,overall_foundation,involved_families,supportive_environment,ambitious_instruction,effective_leaders,collaborative_teachers,safety,misconducts_resulting_in_suspensions_2011_percent,misconducts_resulting_in_suspensions_2012_percent,average_days_of_suspension_2011,average_days_of_suspension_2012,student_attendance_2011_percent,student_attendance_2012_percent,teacher_attendance_2011_percent,teacher_attendance_2012_percent,healthy_school_certified,x_coordinate,y_coordinate,longitude,latitude,location,growth_explore,growth_plan,growth_act,growth_all_grades,blue_ribbon_award,blue_ribbon_award_year
609733,Sullivan HS,Roger C Sullivan High School,6631 N Bosworth Ave,Chicago,IL,60626,http://www.sullivanhs.org,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 3,Yes,8,Below Average,Far Below Average,12.64,13.78,14.5,13.23,14.14,14.5,39.30,45.20,11.70,11.30,68.60,62.40,14.80,14.50,52.10,63.20,84.90,67.10,Moderately Organized,Neutral,Neutral,Neutral,Neutral,Neutral,Weak,23.40,36.90,2.9,2.8,81.60,80.20,95.80,95.60,Pending,1164774.883,1944269.292,-87.66915533,42.00268694,"{'latitude': '-87.66915533', 'longitude': '42.00268694'}",47.50,60.30,45.50,50.00,,
609716,Kelvyn Park HS,Kelvyn Park High School,4343 W Wrightwood Ave,Chicago,IL,60639,http://www.kelvynparkhs.org,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 3,Yes,17,Above Average,Far Below Average,12.8,13.77,15.2,13.09,14.2,15.2,54.10,58.50,6,11.80,56.90,65.30,16.70,14.40,35,37.10,59.30,54.20,Partially Organized,Not Enough Data,Neutral,Weak,Not Enough Data,Not Enough Data,Neutral,23.60,10.30,2.2,2.8,74.40,76.30,94.50,94.90,No,1146795.845,1916879.493,-87.73600171,41.92789092,"{'latitude': '-87.73600171', 'longitude': '41.92789092'}",54.50,67.20,58.80,59.10,,
609756,Curie HS,Marie Sklodowska Curie Metropolitan High School,4959 S Archer Ave,Chicago,IL,60632,http://www.curiehs.org,Southwest Side High School Network,Southwest Side High School Network,Standard,Level 3,Yes,4,Far Above Average,Below Average,14.26,14.98,17.3,14.21,15.24,17.3,76.10,76.80,3.20,2.90,61,65.20,22.90,25.10,61.30,62,81.50,78.40,Not Yet Organized,Weak,Weak,Neutral,Very Weak,Weak,Neutral,42.30,35.90,2.7,2.8,85,83.10,95,95.20,No,1150928.132,1871413.203,-87.72200673,41.80304615,"{'latitude': '-87.72200673', 'longitude': '41.80304615'}",69.20,63.20,,66.50,,
609712,Hirsch HS,Emil G Hirsch Metropolitan High School,7740 S Ingleside Ave,Chicago,IL,60619,http://www.hirschmetro.org,South Side High School Network,South Side High School Network,Track E,Level 3,Yes,5,Far Below Average,Far Below Average,11.47,12.29,13.5,12.71,13,13.5,36.20,45.80,7.40,11.20,69.50,71.60,10.80,6.50,45.10,55.10,56.10,61.10,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,33.80,23.30,3.9,4.1,84.80,80.70,95.40,93.90,No,1183865.127,1853710.216,-87.60176452,41.7537612,"{'latitude': '-87.60176452', 'longitude': '41.7537612'}",41.90,39.10,45.60,42.50,,
609682,Richards HS,Ellen H Richards Career Academy High School,5009 S Laflin St,Chicago,IL,60609,http://www.richardscareeracademy.org,Southwest Side High School Network,Southwest Side High School Network,Track E,Level 2,Yes,17,Average,Far Below Average,11.99,12.89,14.8,12.53,14.15,14.8,57.30,64.80,1.50,0.40,63.50,80,5.50,8.80,43.10,52.10,48.60,64.80,Not Yet Organized,Very Weak,Neutral,Weak,Very Weak,Weak,Weak,12.40,36.50,4,6,90.60,85.80,95.70,95.30,Pending,1167224.006,1871465.305,-87.66224052,41.80285552,"{'latitude': '-87.66224052', 'longitude': '41.80285552'}",62.50,55.90,53.60,57.30,,
610385,Multicultural Acad Scholarship,Multicultural Academy of Scholarship,3120 S Kostner Ave,Chicago,IL,60623,http://www.lvlhs.org,West Side High School Network,West Side High School Network,Track E,Level 2,No,0,Average,Below Average,13.31,14.2,16.5,,14.54,16.5,58,57.50,5.80,4.50,78.70,94.60,21.10,21.90,58.50,50,51.60,71.10,Organized,Strong,Neutral,Neutral,Neutral,Strong,Neutral,38.50,57.70,3.2,2.4,89.20,91.90,96.70,95.70,No,1147521.302,1883405.128,-87.73419465,41.83601953,"{'latitude': '-87.73419465', 'longitude': '41.83601953'}",,57.30,52.10,54.80,,
609761,Corliss HS,George H Corliss High School,821 E 103rd St,Chicago,IL,60628,http://www.newcorlisshs.org,Far South Side High School Network,Far South Side High School Network,Standard,Level 3,Yes,11,Average,Far Below Average,11.94,12.91,14.7,12.36,12.95,14.7,42.80,45.50,14.10,7.10,76.20,60,10.60,11.90,44,50,58.90,64.20,Partially Organized,Neutral,Weak,Neutral,Neutral,Neutral,Weak,48.60,68.60,4.8,5.3,71.30,73.60,95.20,95.20,No,1183649.971,1836810.314,-87.60307842,41.70739096,"{'latitude': '-87.60307842', 'longitude': '41.70739096'}",36.80,63.10,56.40,52.80,,
610499,Collins HS,Collins Academy High School,1313 S Sacramento Dr,Chicago,IL,60623,http://www.collinsacademyhs.org,AUSL Schools,West Side High School Network,Standard,Level 3,Yes,1,Below Average,Far Below Average,12.71,14.1,15.5,13.07,13.83,15.5,,70.50,2.90,2.30,70.40,62.90,20.50,14.50,,67.90,,,Not Yet Organized,Weak,Neutral,Neutral,Weak,Weak,Neutral,96.20,96.50,2.5,3.6,91.40,90.10,96.60,96,No,1156217.24,1893722.861,-87.70200761,41.86416169,"{'latitude': '-87.70200761', 'longitude': '41.86416169'}",41.60,51.60,54.30,49.40,,
609728,Roosevelt HS,Theodore Roosevelt High School,3436 W Wilson Ave,Chicago,IL,60625,http://www.rhsroughriders.org,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 3,Yes,9,Far Below Average,Far Below Average,13.27,14.14,15.2,13.64,15.19,15.2,59.40,54.20,10.90,7.50,61.20,61.30,13.70,18.50,42.90,46.60,73,74.60,Partially Organized,Weak,Neutral,Neutral,Weak,Neutral,Neutral,91.50,93.60,2.1,3.1,82.30,85.20,96.10,95.80,No,1152459.778,1930390.229,-87.71483051,41.96485522,"{'latitude': '-87.71483051', 'longitude': '41.96485522'}",29.20,46.90,44.50,39.30,,
609722,Manley HS,Manley Career Academy High School,2935 W Polk St,Chicago,IL,60612,http://www.manleyhighschool.org,West Side High School Network,West Side High School Network,Standard,Level 3,Yes,17,Above Average,Far Below Average,12.58,12.97,14.7,12.29,13.6,14.7,49,50.60,10.70,14,59.30,49.50,6.70,8.10,51.90,53,43.20,62.50,Not Yet Organized,Weak,Neutral,Neutral,Weak,Weak,Weak,29,67,2.4,2.9,66.80,71.60,95.40,94.70,No,1156776.858,1896186.78,-87.69988652,41.87091163,"{'latitude': '-87.69988652', 'longitude': '41.87091163'}",57.80,54.30,66.20,60.30,,
