the_geom,school_id,school_nm,school_add,boundarygr,sch_type
"{'type': 'MultiPolygon', 'coordinates': [[[[-87.68407524757951, 41.793874816406905], [-87.68431505442247, 41.79386215475677], [-87.68493765432504, 41.79385236059339], [-87.6858381659522, 41.79383757792682], [-87.68602136995258, 41.79383456959663], [-87.68651249402136, 41.79382552777418], [-87.68659156907118, 41.79382407143077], [-87.68756336688448, 41.79380617326375], [-87.68770398463485, 41.79380435711423], [-87.68800021911866, 41.79380053214844], [-87.6887503711016, 41.793786246833726], [-87.68882673762803, 41.793784567572494], [-87.68893115340205, 41.79378259002542], [-87.68991902482479, 41.79376387343976], [-87.69014273980926, 41.793758875053285], [-87.69034131929594, 41.79375443782273], [-87.69107176601197, 41.793741290248605], [-87.69136140618669, 41.793736206067344], [-87.6915567955937, 41.79373277621319], [-87.69233810755975, 41.793719300599875], [-87.69258080811959, 41.79371377224967], [-87.69292355500764, 41.793705963239454], [-87.69379793938643, 41.79369080774556], [-87.69487903671596, 41.793672060557824], [-87.69501793657602, 41.79366969289617], [-87.69516431636522, 41.79366719735249], [-87.6960994129685, 41.79365147654081], [-87.69624023162093, 41.79364912074569], [-87.69648999264523, 41.79364494321145], [-87.69727836238144, 41.79362966160281], [-87.69746053512155, 41.79362656178972], [-87.69763615328951, 41.793623573075244], [-87.69799628444042, 41.79361807170294], [-87.69850412792955, 41.79360899904163], [-87.69867981557003, 41.793605300535766], [-87.69915679606336, 41.793595260365834], [-87.69964621741212, 41.79358747740592], [-87.69989688333608, 41.79358214049833], [-87.70013251054614, 41.79357712351128], [-87.70087692104795, 41.79356429216501], [-87.70111767728571, 41.7935597425685], [-87.70127733826868, 41.793556726193174], [-87.70218614167474, 41.79354070131577], [-87.70233714625468, 41.793537908715734], [-87.70249955616887, 41.793534903939864], [-87.70294449813171, 41.79352565258817], [-87.70341843771406, 41.793515795919134], [-87.70355407899083, 41.79351390786684], [-87.70377482200462, 41.79351083391105], [-87.70416917234043, 41.793504873160046], [-87.70467828443465, 41.793497175697944], [-87.70478068715089, 41.79349525015629], [-87.70501521049601, 41.79349084105879], [-87.70591354822986, 41.79347977863932], [-87.70600466449697, 41.79347869972259], [-87.7062227977276, 41.79347611641168], [-87.70716568872137, 41.79346165626976], [-87.70723097216181, 41.79346074259124], [-87.70736139344136, 41.79345891703056], [-87.70762085381496, 41.79345412889086], [-87.70779740822407, 41.793452263286554], [-87.70808219604075, 41.79344879148076], [-87.7083609822381, 41.79344399700939], [-87.70845740817533, 41.793441395521356], [-87.70857938080978, 41.79343810456144], [-87.70884249946305, 41.793434211403735], [-87.70904773763523, 41.79343159494487], [-87.70934719176971, 41.79342833655719], [-87.70953218822417, 41.79342574613763], [-87.70968348542836, 41.79342286803762], [-87.70986995654617, 41.793419319898604], [-87.71014473373604, 41.79341576073803], [-87.71036497175837, 41.79341308644128], [-87.71063656634561, 41.79340868592035], [-87.7109012242213, 41.793404973759856], [-87.71103036020858, 41.793403163179455], [-87.71128948979656, 41.79339844239103], [-87.71141239649889, 41.79339620329483], [-87.71184428370728, 41.79338781017085], [-87.71202749029229, 41.79338441103514], [-87.7122541885732, 41.79338102616233], [-87.71243262064152, 41.79337842349223], [-87.71299351964286, 41.79336970766373], [-87.71311228995417, 41.79336771091725], [-87.71311962962567, 41.793546237020195], [-87.71313492629, 41.79415501210965], [-87.71313674989905, 41.79427947537996], [-87.71377727997968, 41.80434530742846], [-87.68376273021038, 41.804810206380914], [-87.68376082552376, 41.804797081966576], [-87.68375530505378, 41.804759034237414], [-87.68375270400742, 41.80474110790301], [-87.68374883261082, 41.80461259210577], [-87.68374792326244, 41.80458241522746], [-87.68374729426255, 41.80456153338012], [-87.6837466940642, 41.80454161237244], [-87.68374558292705, 41.80450472762156], [-87.68374548010277, 41.804501326406026], [-87.68374330784391, 41.80434124032183], [-87.68374163162295, 41.80421782032341], [-87.68373235844393, 41.803883102066536], [-87.683723042576, 41.803549043507346], [-87.68371503477088, 41.80325977770486], [-87.68370454055419, 41.80296031032716], [-87.68369983209054, 41.80282593025491], [-87.68369593318684, 41.80255839607553], [-87.68368928595876, 41.80230146601144], [-87.68368321667094, 41.80203830965755], [-87.68367979768935, 41.80189004439938], [-87.68368001024432, 41.80166935001763], [-87.68368119309014, 41.80137796894416], [-87.68367300028628, 41.80112718310379], [-87.68366917536527, 41.801010056962184], [-87.68366058716694, 41.80075649127755], [-87.6836477330396, 41.80043149529229], [-87.68364131331168, 41.80024129434553], [-87.68363757122555, 41.80013039009902], [-87.6836286267261, 41.7997959759773], [-87.68361785134927, 41.799395770716956], [-87.68361010509426, 41.79910617755146], [-87.68360611299046, 41.79895714007271], [-87.68360260597836, 41.79882654818696], [-87.68359971567129, 41.79871876305486], [-87.68357499490774, 41.797789491029135], [-87.68356728616475, 41.79751729643973], [-87.68356183011737, 41.797324643777564], [-87.6835469928597, 41.79675309052843], [-87.68353131797885, 41.796141080455776], [-87.68351936399088, 41.795570234868734], [-87.6835142482523, 41.795325930719834], [-87.6835069039619, 41.7951781364762], [-87.68349681614308, 41.794975112457706], [-87.68348024100474, 41.79431424925053], [-87.68347340581495, 41.794039727515475], [-87.68347633294314, 41.79392146715939], [-87.68407524757951, 41.793874816406905]]]]}",400084,ACERO - TAMAYO,"5135 S CALIFORNIA AVE, 60632","K, 1, 2, 3, 4, 5, 6, 7, 8",Charter
"{'type': 'MultiPolygon', 'coordinates': [[[[-87.66604317643265, 41.75702769818841], [-87.66603797644547, 41.75702868539435], [-87.66602874612578, 41.75669801950334], [-87.66602790440442, 41.75666679642289], [-87.66602075044105, 41.75640139618446], [-87.6660147221998, 41.75617660242129], [-87.66600863549367, 41.75595049108234], [-87.66600562432197, 41.755787320185625], [-87.66600206359212, 41.75559432435389], [-87.66599487509792, 41.755332970084595], [-87.66598705391934, 41.75504784621199], [-87.66597954514113, 41.7547749366302], [-87.6659714080179, 41.75447795584599], [-87.66596326974951, 41.75418097503947], [-87.66595990788095, 41.75401255565337], [-87.66595888364301, 41.75396123364658], [-87.66595795531637, 41.75391469761357], [-87.66595521058134, 41.7537772407078], [-87.66594589507612, 41.75344534513895], [-87.66593785392406, 41.75316024780436], [-87.66592879297455, 41.75283919312224], [-87.66592145853951, 41.75257781086664], [-87.66591341414963, 41.75229304210096], [-87.66591020789913, 41.752143275440915], [-87.66590630134878, 41.75196083060824], [-87.66590410490154, 41.75173424740082], [-87.66589367301366, 41.75137923835971], [-87.66588562252808, 41.75110563937854], [-87.66587755606903, 41.750830337708216], [-87.6658744951247, 41.75072644345599], [-87.66586736449668, 41.750483837519184], [-87.66586376159351, 41.750325020776934], [-87.66586127634348, 41.750215463886285], [-87.66585283234623, 41.74986415957974], [-87.66582398968902, 41.74866416498971], [-87.66581845068426, 41.748502385563434], [-87.66581447984281, 41.74838641393432], [-87.66577582053888, 41.74686169874747], [-87.6657718328141, 41.74668226408357], [-87.66576827239912, 41.74652204651881], [-87.66575000286751, 41.74574230979615], [-87.66573283088896, 41.74500868328431], [-87.6657303945996, 41.744863560472076], [-87.66572868352071, 41.7447616988675], [-87.66570742277621, 41.743968580446406], [-87.66570642272511, 41.743932239616996], [-87.6656940220889, 41.7434969387402], [-87.6656842813451, 41.7431550046568], [-87.66568275187454, 41.74303991415219], [-87.66583646068176, 41.74303796656515], [-87.66675191804292, 41.74302610134594], [-87.66689739241843, 41.74302304934294], [-87.66704505041622, 41.7430199521951], [-87.667959180768, 41.74300883856967], [-87.66810737378334, 41.743007476352254], [-87.66827778169181, 41.74300590849415], [-87.66918075013749, 41.742993320477595], [-87.66932297444234, 41.742991939298065], [-87.66946596941864, 41.74299055069051], [-87.67035598706057, 41.74297952537161], [-87.67053518546889, 41.74297653099283], [-87.67072342945546, 41.74297338501739], [-87.67101382256976, 41.74296981829261], [-87.67161172273764, 41.74296247688076], [-87.67174858259173, 41.742960528789055], [-87.67188075564047, 41.742958647191216], [-87.67238693345456, 41.742951804598505], [-87.67277781897282, 41.74294651821647], [-87.6729636159398, 41.74294352737193], [-87.67314712715941, 41.74294057351389], [-87.67356923377392, 41.742935355779835], [-87.67402325394963, 41.742929741590466], [-87.67417816167163, 41.742927831138395], [-87.67433123828305, 41.742925937886454], [-87.67517993287116, 41.74291373241634], [-87.67540540624547, 41.742910767704984], [-87.67561464554575, 41.742908015747304], [-87.67641488110858, 41.742897555869334], [-87.67660057058941, 41.74289552821863], [-87.67684709250096, 41.74289283584507], [-87.67737414684137, 41.742886899080574], [-87.67751098919784, 41.74288498544067], [-87.67755007292966, 41.74288443870473], [-87.67780319616786, 41.74288089779971], [-87.6779259168634, 41.74287918040918], [-87.67795880305447, 41.74287866120766], [-87.67803947647661, 41.7428773881317], [-87.67816854433, 41.74287535103744], [-87.67845218961787, 41.74287087438993], [-87.67883126093543, 41.74286683261091], [-87.67932902000886, 41.7428591290593], [-87.67980285591753, 41.742854470065005], [-87.6801577044274, 41.74285017718783], [-87.68017570330433, 41.74284995987636], [-87.68045788634666, 41.7428464477583], [-87.68088586578862, 41.7428397950298], [-87.68120455222113, 41.74283564921428], [-87.68156644526421, 41.742831006612285], [-87.68193253160999, 41.74282468495775], [-87.68230069053787, 41.74282002064348], [-87.68267922307058, 41.74281571101299], [-87.6826821355766, 41.74307081647959], [-87.68268549736338, 41.74321485573643], [-87.68269021814369, 41.74341719396595], [-87.68270254374215, 41.74390583294264], [-87.68270627559077, 41.74406609520601], [-87.68270835899024, 41.74416100521819], [-87.68271161037164, 41.74431182085103], [-87.68271171860887, 41.74431681847603], [-87.68271207818842, 41.744333478119444], [-87.6827136679656, 41.744417385603114], [-87.68271447251479, 41.744459871063256], [-87.68271548235305, 41.74451310261172], [-87.68271793483451, 41.74464254810969], [-87.68272104611796, 41.74480629124112], [-87.68272420686192, 41.74492143308339], [-87.68272857047563, 41.745101650026264], [-87.6827341115296, 41.74533052831342], [-87.6827407425098, 41.74556660395691], [-87.68274571030017, 41.74577141319508], [-87.6827522719816, 41.74603984384635], [-87.68275805286106, 41.74627665564482], [-87.6827620387193, 41.74647405922055], [-87.68276657820019, 41.74669891526565], [-87.68277108069219, 41.74685193659947], [-87.68277906132175, 41.74712130800886], [-87.68278495132566, 41.747387100333746], [-87.68278855256771, 41.74754961086372], [-87.68279256446016, 41.74772205920894], [-87.68279719376068, 41.74792052610369], [-87.68280074071815, 41.74807365093806], [-87.6828046285576, 41.748289235805245], [-87.68280828285396, 41.74849187123771], [-87.68281295346438, 41.748664460138876], [-87.68281781534365, 41.748843471498276], [-87.68282188535176, 41.74901029377228], [-87.68282621325513, 41.74919920877824], [-87.68283167773384, 41.749437747348026], [-87.6828340898103, 41.74959813883829], [-87.68283723193376, 41.74980233255181], [-87.68284524611941, 41.75004496687093], [-87.6828471568393, 41.75010282232284], [-87.68284910637682, 41.750161834958575], [-87.68285811521012, 41.75043457488153], [-87.68286190089171, 41.7505822952287], [-87.68287082088308, 41.7509277982447], [-87.68287234401933, 41.75098689129103], [-87.68287580900032, 41.75112124574269], [-87.68288111657259, 41.751332477181236], [-87.68288848753495, 41.751629563451274], [-87.68289444738973, 41.751935422941685], [-87.68289838477516, 41.75213756284776], [-87.68291569077196, 41.75276838550174], [-87.6829231975725, 41.75304132117701], [-87.68293572191251, 41.75349958136392], [-87.68294338700781, 41.7537554209433], [-87.6829498118986, 41.75396987109644], [-87.6829595853687, 41.75433047328842], [-87.68297060140524, 41.754738558522654], [-87.6829862169257, 41.755308255723264], [-87.68298822844405, 41.75538509129751], [-87.68298830657098, 41.75538807193408], [-87.68299240192904, 41.75554446617978], [-87.68299290972894, 41.755563843017775], [-87.68299917751186, 41.75580329162944], [-87.68301304684643, 41.75636090320128], [-87.6830183095827, 41.75652161315362], [-87.68302682989633, 41.75678176566132], [-87.68304439031664, 41.75726417650695], [-87.68304492050372, 41.75728526865254], [-87.68304796135685, 41.75740630152054], [-87.683037186036, 41.75740643321009], [-87.6828239609382, 41.75740904008901], [-87.6826793250894, 41.75741080782886], [-87.68251351259586, 41.757412834484356], [-87.68232462575354, 41.75741514252443], [-87.6821295070013, 41.75741752747741], [-87.68196675270543, 41.757419515755174], [-87.68180887616207, 41.75742144412764], [-87.68165440658089, 41.75742333128339], [-87.68151112480979, 41.75742508182338], [-87.68133559523834, 41.757427224519866], [-87.68115665867107, 41.75742940973376], [-87.6809612680729, 41.757431795661134], [-87.68082785845574, 41.757433424032065], [-87.6806912366779, 41.757435091624785], [-87.68057892551884, 41.75743646320176], [-87.68049518342225, 41.75743748469993], [-87.68049400653312, 41.757391300325466], [-87.68049287639812, 41.757346909734345], [-87.68040728001279, 41.75734795304529], [-87.6802917183934, 41.75734936169205], [-87.68022290792784, 41.757350199553116], [-87.68011818415002, 41.75735147605476], [-87.67798239576929, 41.757377410363176], [-87.67787548376428, 41.75737865523182], [-87.67770082470196, 41.7573806883973], [-87.6775292057902, 41.75738268642931], [-87.67725650743844, 41.75738586095753], [-87.67700795480721, 41.757388753204566], [-87.67677929911703, 41.75739141377765], [-87.67658569069329, 41.75739366559235], [-87.67638124565984, 41.75739604329374], [-87.67623104975145, 41.757397790030495], [-87.6759259641773, 41.75740133799063], [-87.67576808125385, 41.757403173390955], [-87.67563506698008, 41.75740470435669], [-87.6756340628057, 41.75740471661558], [-87.67535052563902, 41.75740798123547], [-87.67506432471231, 41.75741127491186], [-87.67474263635175, 41.75741497760567], [-87.67448901249561, 41.75741789565731], [-87.67422689949456, 41.75742091120863], [-87.67398715116245, 41.75742366825489], [-87.67375113206307, 41.75742638228408], [-87.67352061241962, 41.75742903287304], [-87.67346482759152, 41.7574296740821], [-87.67345982959894, 41.75742973181159], [-87.67342272950029, 41.75743015888297], [-87.6733750694057, 41.75743070715811], [-87.67335221766808, 41.757430970251285], [-87.67333894100767, 41.757431122677126], [-87.67333616536156, 41.757431159853915], [-87.6733080072211, 41.75743153741395], [-87.67325818268046, 41.75743220555952], [-87.67322501923988, 41.75743264978132], [-87.67319112701598, 41.75743310331161], [-87.6729293323136, 41.75743661112848], [-87.6725880744727, 41.75744118299758], [-87.67215806203062, 41.75744694211268], [-87.67173187145728, 41.75745264869676], [-87.67136135495056, 41.75745760755879], [-87.67093101643773, 41.757463366504425], [-87.6705897583901, 41.75746793243584], [-87.67030832348645, 41.75747169643679], [-87.67027721649109, 41.75747211295937], [-87.67007444211079, 41.75747370306324], [-87.67007429540142, 41.75747370401703], [-87.66980158416958, 41.75747584246632], [-87.66949921798769, 41.757478212292284], [-87.66921798906323, 41.757480415388216], [-87.66897524421651, 41.75748231632223], [-87.66877067197808, 41.75748391893894], [-87.66860411483871, 41.75748522253091], [-87.66835942370832, 41.75748753857429], [-87.66819981630587, 41.75748946703731], [-87.66813522435157, 41.75749024824966], [-87.66792700715025, 41.75749269260644], [-87.66769282096737, 41.75749544081805], [-87.66739009368288, 41.757498994177006], [-87.66730950735044, 41.75749993972061], [-87.66692183545732, 41.757504489496064], [-87.66674656226175, 41.75750654566139], [-87.6664146429417, 41.75751043938502], [-87.66607390851813, 41.75751443581692], [-87.66603854359752, 41.75751485077284], [-87.66604317643265, 41.75702769818841]]]]}",400032,CICS - ELLISON HS,"1817 W 80TH ST, 60620","9, 10, 11, 12",Charter
