the_geom,school_id,school_nm,sch_addr,grade_cat,grades,sch_type,x,y,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu
"{'type': 'Point', 'coordinates': [-87.74933062513719, 41.935784573795964]}",609910,FALCONER,"3020 N LAMON AVE, 60641",ES,"PK, K, 1, 2, 3, 4, 5, 6",Traditional,-87.74933063,41.93578457,21,19,22618,355,17
"{'type': 'Point', 'coordinates': [-87.61979634572, 41.823879968183725]}",609727,PHILLIPS HS,"244 E PERSHING RD, 60653",HS,"9, 10, 11, 12",Traditional,-87.61979635,41.82387997,36,1,4301,222,9
"{'type': 'Point', 'coordinates': [-87.62093345510804, 41.73840659515538]}",610093,NEIL,"8555 S MICHIGAN AVE, 60619",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.62093346,41.7384066,61,40,21546,406,32
"{'type': 'Point', 'coordinates': [-87.65923928942222, 41.96529481710192]}",400141,YCCS - TRUMAN,"1145 W WILSON AVE, 60640",HS,"9, 10, 11, 12",Options,-87.65923929,41.96529482,15,31,22616,241,39
"{'type': 'Point', 'coordinates': [-87.73431332380254, 41.841393804181365]}",609973,ZAPATA,"2728 S KOSTNER AVE, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.73431332,41.8413938,57,32,21569,205,28
"{'type': 'Point', 'coordinates': [-87.72188814466854, 41.92090964989134]}",610088,MOZART,"2200 N HAMLIN AVE, 60647",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.72188814,41.92090965,1,23,22535,74,12
"{'type': 'Point', 'coordinates': [-87.81313152527648, 41.94255167032794]}",609884,DEVER,"3436 N OSCEOLA AVE, 60634",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.81313153,41.94255167,52,17,22254,458,19
"{'type': 'Point', 'coordinates': [-87.59750293094845, 41.81117346246994]}",609951,ARIEL,"1119 E 46TH ST, 60653",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.59750293,41.81117346,36,5,4301,395,10
"{'type': 'Point', 'coordinates': [-87.7304504434119, 41.80819980685668]}",400080,ACERO - TORRES,"4248 W 47TH ST, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.73045044,41.80819981,56,54,22248,591,8
"{'type': 'Point', 'coordinates': [-87.63511669834392, 41.77836949913595]}",400106,NOBLE - JOHNSON HS,"6350 S STEWART AVE, 60621",HS,"9, 10, 11, 12",Traditional,-87.6351167,41.7783695,11,66,21559,435,4
"{'type': 'Point', 'coordinates': [-87.7058548119995, 41.88532104028963]}",609797,BEIDLER,"3151 W WALNUT ST, 60612",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.70585481,41.88532104,28,28,21184,50,46
"{'type': 'Point', 'coordinates': [-87.65374921076258, 41.705858936369246]}",609762,JULIAN HS,"10330 S ELIZABETH ST, 60643",HS,"9, 10, 11, 12",Traditional,-87.65374921,41.70585894,13,72,22212,595,22
"{'type': 'Point', 'coordinates': [-87.53297604180855, 41.69873879985225]}",609772,ADDAMS,"10810 S AVENUE H, 60617",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.53297604,41.6987388,25,49,21202,552,47
"{'type': 'Point', 'coordinates': [-87.59439199559561, 41.77336553232888]}",609977,WOODLAWN,"6657 S KIMBARK AVE, 60637",ES,"PK, K, 1, 2, 3, 4, 5, 6",Traditional,-87.594392,41.77336553,60,9,22260,27,33
"{'type': 'Point', 'coordinates': [-87.68074453481923, 41.84810094002329]}",610125,RUIZ,"2410 S LEAVITT ST, 60608",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.68074453,41.84810094,43,33,14920,204,26
"{'type': 'Point', 'coordinates': [-87.65576813291767, 41.72122143298516]}",400033,CICS - LONGWOOD,"1309 W 95TH ST, 60643",HS,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Traditional,-87.65576813,41.72122143,13,72,22212,592,13
"{'type': 'Point', 'coordinates': [-87.62986865963944, 41.7053423219332]}",610368,HUGHES L,"240 W 104TH ST, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.62986866,41.70534232,19,45,21861,524,22
"{'type': 'Point', 'coordinates': [-87.7129567867987, 41.862960024834926]}",610034,LAWNDALE,"3500 W DOUGLAS BLVD, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.71295679,41.86296002,57,30,21569,772,14
"{'type': 'Point', 'coordinates': [-87.62714768792202, 41.6962623479368]}",610208,LAVIZZO,"138 W 109TH ST, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.62714769,41.69626235,19,45,21861,524,22
"{'type': 'Point', 'coordinates': [-87.61806644738232, 41.75194557604158]}",610152,RUGGLES,"7831 S PRAIRIE AVE, 60619",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.61806645,41.75194558,61,67,21546,475,32
"{'type': 'Point', 'coordinates': [-87.63541036887604, 41.745781231018725]}",609692,SIMEON HS,"8147 S VINCENNES AVE, 60620",HS,"9, 10, 11, 12",Traditional,-87.63541037,41.74578123,59,40,21554,1,13
"{'type': 'Point', 'coordinates': [-87.63366447727049, 41.815787751662896]}",609987,HENDRICKS,"4316 S PRINCETON AVE, 60609",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.63366448,41.81578775,37,3,14924,189,9
"{'type': 'Point', 'coordinates': [-87.76119046881557, 41.93040331628872]}",610165,SCHUBERT,"2727 N LONG AVE, 60639",ES,"PK, K, 1, 2, 3, 4, 5",Traditional,-87.76119047,41.93040332,2,19,22615,79,17
"{'type': 'Point', 'coordinates': [-87.71165364056993, 41.82437732801646]}",610353,CALMECA,"3456 W 38TH ST, 60632",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.71165364,41.82437733,56,55,22248,612,1
"{'type': 'Point', 'coordinates': [-87.69731553741046, 41.84794071630283]}",610017,SAUCEDO,"2850 W 24TH BLVD, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.69731554,41.84794072,57,32,21569,203,1
"{'type': 'Point', 'coordinates': [-87.69705747862062, 41.80798719304401]}",400179,NOBLE - MANSUETO HS,"2911 W 47TH ST, 60632",HS,"9, 10, 11, 12",Traditional,-87.69705748,41.80798719,56,55,22248,85,8
"{'type': 'Point', 'coordinates': [-87.60679103518811, 41.76067263581724]}",610279,TANNER,"7350 S EVANS AVE, 60619",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.60679104,41.76067264,61,67,21546,515,32
"{'type': 'Point', 'coordinates': [-87.66448299828379, 41.89528219404516]}",400053,NOBLE - GOLDER HS,"1454 W SUPERIOR ST, 60642",HS,"9, 10, 11, 12",Traditional,-87.664483,41.89528219,49,25,22620,485,46
"{'type': 'Point', 'coordinates': [-87.73580189344493, 41.878664647684325]}",609985,HEFFERAN,"4409 W WILCOX ST, 60624",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.73580189,41.87866465,30,27,21572,716,23
"{'type': 'Point', 'coordinates': [-87.76578057130268, 41.92131758250097]}",610533,PRIETO,"2231 N CENTRAL AVE, 60639",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.76578057,41.92131758,2,19,22615,307,44
"{'type': 'Point', 'coordinates': [-87.78351523287562, 41.93563358807546]}",609732,STEINMETZ HS,"3030 N MOBILE AVE, 60634",HS,"9, 10, 11, 12",Traditional,-87.78351523,41.93563359,52,19,22254,81,44
"{'type': 'Point', 'coordinates': [-87.6776361122864, 41.88321451740223]}",610405,SUDER,"2022 W WASHINGTON BLVD, 60612",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.67763611,41.88321452,28,29,21184,37,46
"{'type': 'Point', 'coordinates': [-87.61688838172708, 41.684433038708896]}",400028,CICS - PRAIRIE,"11530 S PRAIRIE AVE, 60628",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.61688838,41.68443304,19,50,21861,229,43
"{'type': 'Point', 'coordinates': [-87.68989562475377, 41.900343635237874]}",400114,ACERO - SANTIAGO,"2510 W CORTEZ ST, 60622",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.68989562,41.90034364,4,25,21560,542,41
"{'type': 'Point', 'coordinates': [-87.59062038514652, 41.6562899521935]}",609760,CARVER MILITARY HS,"13100 S DOTY AVE, 60627",HS,"9, 10, 11, 12",Traditional,-87.59062039,41.65628995,47,51,21861,9,43
"{'type': 'Point', 'coordinates': [-87.70809202043941, 41.87971359143742]}",610055,FARADAY,"3250 W MONROE ST, 60624",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.70809202,41.87971359,30,28,21572,765,23
"{'type': 'Point', 'coordinates': [-87.75880329371452, 41.775464261473715]}",609956,GRIMES,"5450 W 64TH PL, 60638",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.75880329,41.77546426,7,62,22268,337,15
"{'type': 'Point', 'coordinates': [-87.60789113705165, 41.74034023366311]}",610130,PIRIE,"650 E 85TH ST, 60619",ES,"PK, K, 1, 2, 3, 4, 5, 6",Traditional,-87.60789114,41.74034023,61,40,21546,140,32
"{'type': 'Point', 'coordinates': [-87.68304994191044, 41.90681580989147]}",610342,SABIN,"2216 W HIRSCH ST, 60622",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.68304994,41.90681581,4,25,21560,516,41
"{'type': 'Point', 'coordinates': [-87.67166184963618, 41.782040803655676]}",610391,LINDBLOM HS,"6130 S WOLCOTT AVE, 60636",HS,"7, 8, 9, 10, 11, 12",Traditional,-87.67166185,41.7820408,23,65,22257,275,3
"{'type': 'Point', 'coordinates': [-87.71136992132557, 41.793479330048655]}",610532,HERNANDEZ,"3510 W 55TH ST, 60632",ES,"6, 7, 8",Traditional,-87.71136992,41.79347933,56,61,22248,776,8
"{'type': 'Point', 'coordinates': [-87.66895268957833, 41.95476406804105]}",609719,LAKE VIEW HS,"4015 N ASHLAND AVE, 60613",HS,"9, 10, 11, 12",Traditional,-87.66895269,41.95476407,53,57,21186,650,18
"{'type': 'Point', 'coordinates': [-87.77763129473918, 41.948571312287086]}",610201,THORP O,"6024 W WARWICK AVE, 60634",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.77763129,41.94857131,52,17,22254,443,19
"{'type': 'Point', 'coordinates': [-87.76333693233927, 41.872760428571986]}",400068,PLATO,"5545 W HARRISON ST, 60644",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.76333693,41.87276043,32,26,22216,61,7
"{'type': 'Point', 'coordinates': [-87.68376530075342, 41.955553195526825]}",609866,COONLEY,"4046 N LEAVITT ST, 60618",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.6837653,41.9555532,39,46,21538,623,18
"{'type': 'Point', 'coordinates': [-87.7459514444324, 41.99116924649893]}",610155,SAUGANASH,"6040 N KILPATRICK AVE, 60646",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.74595144,41.99116925,18,12,22532,713,38
"{'type': 'Point', 'coordinates': [-87.68779954321076, 41.79327214417023]}",609842,CARSON,"5516 S MAPLEWOOD AVE, 60629",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.68779954,41.79327214,58,61,22248,112,3
"{'type': 'Point', 'coordinates': [-87.72136351132599, 41.952487670221565]}",610564,DISNEY II HS,"3900 N LAWNDALE AVE, 60618",HS,"7, 8, 9, 10, 11, 12",Traditional,-87.72136351,41.95248767,39,16,21538,326,50
"{'type': 'Point', 'coordinates': [-87.7610070035029, 41.956987637412155]}",610135,PORTAGE PARK,"5330 W BERTEAU AVE, 60641",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.761007,41.95698764,21,15,22618,260,19
"{'type': 'Point', 'coordinates': [-87.74661383937645, 41.891816142769336]}",400146,KIPP - ACADEMY,"4818 W OHIO ST, 60644",ES,"K, 4, 5, 6, 7, 8",Traditional,-87.74661384,41.89181614,32,26,22216,695,45
"{'type': 'Point', 'coordinates': [-87.71601740733614, 41.8484877706901]}",610024,CARDENAS,"2345 S MILLARD AVE, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.71601741,41.84848777,57,32,21569,754,28
"{'type': 'Point', 'coordinates': [-87.68696021818225, 41.879118231882615]}",610304,PHOENIX MILITARY HS,"145 S CAMPBELL AVE, 60612",HS,"9, 10, 11, 12",Traditional,-87.68696022,41.87911823,28,29,21184,785,46
"{'type': 'Point', 'coordinates': [-87.60117440803565, 41.74018379104359]}",610268,ASHE,"8505 S INGLESIDE AVE, 60619",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.60117441,41.74018379,61,40,21546,141,35
"{'type': 'Point', 'coordinates': [-87.6417311862839, 41.751377112622954]}",400130,YCCS - YOUTH DEVELOPMENT,"7836 S UNION AVE, 60620",HS,"9, 10, 11, 12",Options,-87.64173119,41.75137711,59,70,21554,556,32
"{'type': 'Point', 'coordinates': [-87.65344502667793, 41.86535101892268]}",610180,SMYTH,"1059 W 13TH ST, 60608",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.65344503,41.86535102,43,29,14920,760,26
"{'type': 'Point', 'coordinates': [-87.6649678446655, 41.95078051888634]}",609803,BLAINE,"1420 W GRACE ST, 60613",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.66496784,41.95078052,53,57,21186,724,25
"{'type': 'Point', 'coordinates': [-87.65301778634655, 41.765360566492205]}",610238,BOND,"7050 S MAY ST, 60621",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.65301779,41.76536057,11,66,21559,410,32
"{'type': 'Point', 'coordinates': [-87.64608274403555, 41.95681613104895]}",610363,DISNEY,"4140 N MARINE DR, 60613",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.64608274,41.95681613,53,31,21186,636,39
"{'type': 'Point', 'coordinates': [-87.65811083885116, 41.67750544720193]}",610199,COLEMON,"1441 W 119TH ST, 60643",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.65811084,41.67750545,13,50,22212,662,22
"{'type': 'Point', 'coordinates': [-87.66985312411369, 41.93793747440642]}",609820,BURLEY,"1630 W BARRY AVE, 60657",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.66985312,41.93793747,22,57,4449,711,40
"{'type': 'Point', 'coordinates': [-87.70141739135634, 41.887317491102024]}",400151,LEARN - 7,"3021 W CARROLL AVE, 60612",ES,"K, 1, 2, 3, 4, 5",Traditional,-87.70141739,41.88731749,28,28,21184,50,46
"{'type': 'Point', 'coordinates': [-87.65250013919315, 41.71929194781559]}",610032,GREEN,"1150 W 96TH ST, 60643",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.65250014,41.71929195,13,72,22212,592,13
"{'type': 'Point', 'coordinates': [-87.62500446841634, 41.805204171159694]}",610381,BRONZEVILLE HS,"4934 S WABASH AVE, 60615",HS,"9, 10, 11, 12",Traditional,-87.62500447,41.80520417,10,4,21192,449,9
"{'type': 'Point', 'coordinates': [-87.67339165432216, 41.850480886955175]}",610228,WHITTIER,"1900 W 23RD ST, 60608",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.67339165,41.85048089,43,33,14920,126,26
"{'type': 'Point', 'coordinates': [-87.6708653730254, 41.94521965500949]}",609963,HAMILTON,"1650 W CORNELIA AVE, 60657",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.67086537,41.94521966,22,57,4449,239,18
"{'type': 'Point', 'coordinates': [-87.62649482097183, 41.73752473116483]}",400062,PERSPECTIVES - TECH HS,"8522 S LAFAYETTE AVE, 60620",HS,"9, 10, 11, 12",Traditional,-87.62649482,41.73752473,59,40,21554,1,13
"{'type': 'Point', 'coordinates': [-87.62254566062497, 41.6706175402843]}",609943,OWENS,"12302 S STATE ST, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.62254566,41.67061754,19,50,21861,206,43
"{'type': 'Point', 'coordinates': [-87.70207089041905, 41.88731991570183]}",400048,LEARN - EXCEL,"3021 W CARROLL AVE, 60612",ES,"K, 1, 2, 3, 4, 5, 6",Traditional,-87.70207089,41.88731992,28,28,21184,50,46
"{'type': 'Point', 'coordinates': [-87.70541291384026, 41.923322717624636]}",609875,DARWIN,"3116 W BELDEN AVE, 60647",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.70541291,41.92332272,1,23,22535,371,40
"{'type': 'Point', 'coordinates': [-87.71338625327856, 41.97318504890529]}",609737,VON STEUBEN HS,"5039 N KIMBALL AVE, 60625",HS,"9, 10, 11, 12",Traditional,-87.71338625,41.97318505,20,13,21849,167,38
"{'type': 'Point', 'coordinates': [-87.64281614884688, 41.69510526428692]}",610593,OMBUDSMAN - ROSELAND HS,"10928 S HALSTED ST, 60628",HS,"9, 10, 11, 12",Options,-87.64281615,41.69510526,13,74,21861,315,22
"{'type': 'Point', 'coordinates': [-87.73177738713373, 41.86051773855013]}",610005,HUGHES C,"4247 W 15TH ST, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.73177739,41.86051774,57,30,21569,761,14
"{'type': 'Point', 'coordinates': [-87.66098467184617, 41.8742996386608]}",610060,JACKSON A,"1340 W HARRISON ST, 60607",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.66098467,41.87429964,44,29,14917,88,23
"{'type': 'Point', 'coordinates': [-87.7217423167737, 41.91604463388635]}",609780,MARINE LEADERSHIP AT AMES HS,"1920 N HAMLIN AVE, 60647",HS,"7, 8, 9, 10, 11, 12",Traditional,-87.72174232,41.91604463,1,23,22535,388,49
"{'type': 'Point', 'coordinates': [-87.73046684944869, 41.80917079002867]}",400085,ACERO - GARCIA HS,"4248 W 47TH ST, 60632",HS,"9, 10, 11, 12",Traditional,-87.73046685,41.80917079,56,54,22248,591,8
"{'type': 'Point', 'coordinates': [-87.7596751723313, 41.917266409486764]}",400169,NOBLE - ITW SPEER HS,"5321 W GRAND AVE, 60639",HS,"9, 10, 11, 12",Traditional,-87.75967517,41.91726641,2,19,22615,307,45
"{'type': 'Point', 'coordinates': [-87.68784229508249, 41.87467299509577]}",610571,OMBUDSMAN - WEST HS,"2401 W. CONGRESS PKWY, 60612",HS,"9, 10, 11, 12",Options,-87.6878423,41.874673,28,29,21184,756,23
"{'type': 'Point', 'coordinates': [-87.68854925524504, 41.784313281563456]}",610077,MORRILL,"6011 S ROCKWELL ST, 60629",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.68854926,41.78431328,58,64,21867,111,2
"{'type': 'Point', 'coordinates': [-87.61921554222705, 41.830554977893975]}",609754,CHICAGO MILITARY HS,"3519 S GILES AVE, 60653",HS,"9, 10, 11, 12",Traditional,-87.61921554,41.83055498,36,1,4301,222,9
"{'type': 'Point', 'coordinates': [-87.58661500993885, 41.782256927487886]}",609713,HYDE PARK HS,"6220 S STONY ISLAND AVE, 60637",HS,"9, 10, 11, 12",Traditional,-87.58661501,41.78225693,60,9,22260,469,33
"{'type': 'Point', 'coordinates': [-87.73142009080483, 41.91958145296652]}",610097,NIXON,"2121 N KEELER AVE, 60639",ES,"PK, K, 1, 2, 3, 4, 5, 6",Traditional,-87.73142009,41.91958145,2,21,22615,76,12
"{'type': 'Point', 'coordinates': [-87.72107064650444, 41.85836974400632]}",400044,KIPP - ASCEND,"1616 S AVERS AVE, 60623",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.72107065,41.85836974,57,30,21569,752,14
"{'type': 'Point', 'coordinates': [-87.68135796493905, 41.9224146299369]}",400025,CICS - BUCKTOWN,"2235 N HAMILTON AVE, 60647",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.68135796,41.92241463,1,23,22535,178,40
"{'type': 'Point', 'coordinates': [-87.65098672781268, 41.734441623330895]}",400117,NOBLE - HANSBERRY HS,"8748 S ABERDEEN ST, 60620",HS,"9, 10, 11, 12",Traditional,-87.65098673,41.73444162,59,70,21554,533,13
"{'type': 'Point', 'coordinates': [-87.71542311990285, 41.886210060175266]}",610334,RABY HS,"3545 W FULTON BLVD, 60624",HS,"9, 10, 11, 12",Traditional,-87.71542312,41.88621006,30,28,21572,176,23
"{'type': 'Point', 'coordinates': [-87.65548116090045, 41.72967267491391]}",609924,FORT DEARBORN,"9025 S THROOP ST, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.65548116,41.72967267,59,72,21554,195,13
"{'type': 'Point', 'coordinates': [-87.69095743847903, 41.76498802988512]}",400176,CAMELOT - EXCEL SOUTHWEST HS,"7050 S WASHTENAW AVE, 60629",HS,"8, 9, 10, 11, 12",Options,-87.69095744,41.76498803,58,64,21867,383,31
"{'type': 'Point', 'coordinates': [-87.65909480291805, 41.86330140903393]}",400091,CHICAGO TECH HS,"1301 W 14TH ST, 60608",HS,"9, 10, 11, 12",Traditional,-87.6590948,41.86330141,43,29,14920,96,26
"{'type': 'Point', 'coordinates': [-87.7102170019535, 41.9065195914612]}",610044,LOWELL,"3320 W HIRSCH ST, 60651",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.710217,41.90651959,5,24,4299,455,49
"{'type': 'Point', 'coordinates': [-87.70321548827793, 41.68734705536964]}",609849,CASSELL,"11314 S SPAULDING AVE, 60655",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.70321549,41.68734706,33,73,4447,264,42
"{'type': 'Point', 'coordinates': [-87.56596977181232, 41.74141280720522]}",609862,COLES,"8441 S YATES BLVD, 60617",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.56596977,41.74141281,25,42,21202,478,37
"{'type': 'Point', 'coordinates': [-87.61154559300775, 41.76647654327147]}",610115,PARK MANOR,"7037 S RHODES AVE, 60637",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.61154559,41.76647654,60,67,21546,480,32
"{'type': 'Point', 'coordinates': [-87.53601529918679, 41.6881314841647]}",610219,WASHINGTON G ES,"3611 E 114TH ST, 60617",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.5360153,41.68813148,25,49,21202,603,47
"{'type': 'Point', 'coordinates': [-87.70873128447053, 41.753457193441704]}",609807,HAMPTON,"3434 W 77TH ST, 60652",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.70873128,41.75345719,8,69,4300,498,30
"{'type': 'Point', 'coordinates': [-87.65866905202185, 41.69091887705339]}",610176,SHOOP,"11140 S BISHOP ST, 60643",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.65866905,41.69091888,13,74,22212,663,22
"{'type': 'Point', 'coordinates': [-87.7079526334741, 41.77442045238777]}",609898,EBERHART,"3400 W 65TH PL, 60629",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.70795263,41.77442045,58,64,21867,293,6
"{'type': 'Point', 'coordinates': [-87.57481563732203, 41.748274127670044]}",610052,MANN,"8050 S CHAPPEL AVE, 60617",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.57481564,41.74827413,25,42,21202,507,35
"{'type': 'Point', 'coordinates': [-87.64979535547376, 41.79378764943837]}",609997,HOLMES,"955 W GARFIELD BLVD, 60621",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.64979536,41.79378765,11,66,21559,113,2
"{'type': 'Point', 'coordinates': [-87.6372773472152, 41.77272749766364]}",610290,MAYS,"6656 S NORMAL BLVD, 60621",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.63727735,41.7727275,11,66,21559,435,32
"{'type': 'Point', 'coordinates': [-87.59906677097472, 41.81734932753821]}",610256,ROBINSON,"4225 S LAKE PARK AVE, 60653",ES,"PK, K, 1, 2, 3",Traditional,-87.59906677,41.81734933,36,2,4301,220,10
"{'type': 'Point', 'coordinates': [-87.72713735988864, 41.938186603256185]}",400125,YCCS - ASPIRA PANTOJA,"3121 N PULASKI RD, 60641",HS,"9, 10, 11, 12",Options,-87.72713736,41.9381866,39,22,22618,215,21
"{'type': 'Point', 'coordinates': [-87.57607485711412, 41.76084748073776]}",609815,BOUCHET,"7355 S JEFFERY BLVD, 60649",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.57607486,41.76084748,24,39,22538,418,37
"{'type': 'Point', 'coordinates': [-87.70511207709733, 41.85077148440776]}",609920,KANOON,"2233 S KEDZIE AVE, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.70511208,41.85077148,57,32,21569,261,1
"{'type': 'Point', 'coordinates': [-87.71481861559181, 41.96482788461553]}",609728,ROOSEVELT HS,"3436 W WILSON AVE, 60625",HS,"9, 10, 11, 12",Traditional,-87.71481862,41.96482788,20,14,21849,24,20
"{'type': 'Point', 'coordinates': [-87.71869663581879, 41.837065152011654]}",609938,GARY,"3740 W 31ST ST, 60623",ES,"PK, 3, 4, 5, 6, 7, 8",Traditional,-87.71869664,41.83706515,57,32,21569,234,28
"{'type': 'Point', 'coordinates': [-87.57635263778305, 41.75879166335073]}",610547,SOUTH SHORE INTL HS,"1955 E 75TH ST, 60649",HS,"9, 10, 11, 12",Traditional,-87.57635264,41.75879166,24,39,22538,188,35
"{'type': 'Point', 'coordinates': [-87.69252575096598, 41.86025889971047]}",610131,PLAMONDON,"2642 W 15TH PL, 60608",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.69252575,41.8602589,43,30,14920,16,23
"{'type': 'Point', 'coordinates': [-87.69936418519198, 41.81300737026183]}",609958,GUNSAULUS,"4420 S SACRAMENTO AVE, 60632",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.69936419,41.81300737,56,55,22248,156,3
"{'type': 'Point', 'coordinates': [-87.63408585602913, 41.770779795947206]}",610112,PARKER,"6800 S STEWART AVE, 60621",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.63408586,41.7707798,11,66,21559,479,32
"{'type': 'Point', 'coordinates': [-87.7168318552214, 41.95007775391799]}",610089,MURPHY,"3539 W GRACE ST, 60618",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.71683186,41.95007775,39,16,21538,325,12
"{'type': 'Point', 'coordinates': [-87.70898711116948, 41.8585635542043]}",400058,NORTH LAWNDALE - CHRISTIANA HS,"1615 S. CHRISTIANA AVE., 60623",HS,"9, 10, 11, 12",Traditional,-87.70898711,41.85856355,57,30,21569,34,14
"{'type': 'Point', 'coordinates': [-87.66872222930542, 41.86436548289313]}",609750,SIMPSON HS,"1321 S PAULINA ST, 60608",HS,"6, 7, 8, 9, 10, 11, 12",Options,-87.66872223,41.86436548,43,29,14920,96,23
