the_geom,school_id,school_nm,sch_addr,grade_cat,grades,sch_type,x,y,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu
"{'type': 'Point', 'coordinates': [-87.60697990878923, 41.73013138496664]}",400150,YCCS - CHATHAM,"9035 S LANGLEY AVE, 60619",HS,"9, 10, 11, 12",Options,-87.60697991,41.73013138,61,40,21546,430,35
"{'type': 'Point', 'coordinates': [-87.68056201257484, 41.9357945564146]}",610524,ALCOTT HS,"2957 N HOYNE AVE, 60618",HS,"9, 10, 11, 12",Traditional,-87.68056201,41.93579456,39,46,21538,616,40
"{'type': 'Point', 'coordinates': [-87.7239311320323, 41.91481634183528]}",609968,MCAULIFFE,"1841 N SPRINGFIELD AVE, 60647",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.72393113,41.91481634,1,21,22535,135,49
"{'type': 'Point', 'coordinates': [-87.76993751641064, 41.957598988549314]}",610390,RICKOVER MILITARY HS,"5700 W BERTEAU AVE, 60634",HS,"9, 10, 11, 12",Traditional,-87.76993752,41.95759899,52,15,22254,26,19
"{'type': 'Point', 'coordinates': [-87.69463865990119, 41.81872906388032]}",609715,KELLY HS,"4136 S CALIFORNIA AVE, 60632",HS,"9, 10, 11, 12",Traditional,-87.69463866,41.81872906,56,55,22248,196,1
"{'type': 'Point', 'coordinates': [-87.62174596835756, 41.771620359866915]}",609813,BROWNELL,"6741 S MICHIGAN AVE, 60637",ES,"PK, K, 1, 2, 3, 4, 5, 6",Traditional,-87.62174597,41.77162036,60,67,22260,514,32
"{'type': 'Point', 'coordinates': [-87.66496913282977, 41.868575879395905]}",610548,STEM,"1522 W FILLMORE ST, 60607",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.66496913,41.86857588,44,29,14917,758,23
"{'type': 'Point', 'coordinates': [-87.69543001380092, 41.85466465629782]}",400135,YCCS - LATINO YOUTH,"2001 S CALIFORNIA AVE, 60608",HS,"9, 10, 11, 12",Options,-87.69543001,41.85466466,43,32,14920,203,1
"{'type': 'Point', 'coordinates': [-87.72404263305413, 41.99394233325212]}",610182,SOLOMON,"6206 N HAMLIN AVE, 60659",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.72404263,41.99394233,50,13,4450,747,38
"{'type': 'Point', 'coordinates': [-87.62930832982724, 41.85279977033996]}",610231,NATIONAL TEACHERS,"55 W CERMAK RD, 60616",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.62930833,41.85279977,40,34,21194,193,9
"{'type': 'Point', 'coordinates': [-87.61362864697801, 41.83111753164772]}",400105,URBAN PREP - BRONZEVILLE HS,"521 E 35TH ST, 60616",HS,"9, 10, 11, 12",Traditional,-87.61362865,41.83111753,36,1,21194,561,10
"{'type': 'Point', 'coordinates': [-87.68893676244517, 41.89671268897198]}",609854,CHOPIN,"2450 W RICE ST, 60622",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.68893676,41.89671269,4,25,21560,542,49
"{'type': 'Point', 'coordinates': [-87.6672270844517, 41.85603119276118]}",609867,COOPER,"1624 W 19TH ST, 60608",ES,"PK, K, 1, 2, 3, 4, 5, 6",Traditional,-87.66722708,41.85603119,43,33,14920,343,26
"{'type': 'Point', 'coordinates': [-87.67754136786816, 41.808412543386034]}",610563,BACK OF THE YARDS HS,"2111 W 47TH ST, 60609",HS,"9, 10, 11, 12",Traditional,-87.67754137,41.80841254,37,59,14924,788,3
"{'type': 'Point', 'coordinates': [-87.66919214533215, 42.00268755884798]}",609733,SULLIVAN HS,"6631 N BOSWORTH AVE, 60626",HS,"9, 10, 11, 12",Traditional,-87.66919215,42.00268756,9,10,21853,242,5
"{'type': 'Point', 'coordinates': [-87.75756503917475, 41.97239394550086]}",609796,BEAUBIEN,"5025 N LARAMIE AVE, 60630",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.75756504,41.97239395,48,11,21869,129,50
"{'type': 'Point', 'coordinates': [-87.75752152783726, 41.92218115668631]}",400159,CHRISTOPHER HOUSE,"5235 W BELDEN AVE, 60639",ES,"K, 1, 2, 3, 4, 5, 6, 7",Traditional,-87.75752153,41.92218116,2,19,22615,307,44
"{'type': 'Point', 'coordinates': [-87.6685037746596, 41.994540886528746]}",609976,HAYT,"1518 W GRANVILLE AVE, 60660",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.66850377,41.99454089,14,76,4451,536,16
"{'type': 'Point', 'coordinates': [-87.6660369342441, 41.80714283144555]}",610148,CHAVEZ,"4747 S MARSHFIELD AVE, 60609",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.66603693,41.80714283,37,59,14924,740,4
"{'type': 'Point', 'coordinates': [-87.70028031259818, 41.91503854790589]}",610234,YATES,"1839 N RICHMOND ST, 60647",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.70028031,41.91503855,1,23,22535,350,41
"{'type': 'Point', 'coordinates': [-87.67948421494016, 41.97506725668831]}",609695,AMUNDSEN HS,"5110 N DAMEN AVE, 60625",HS,"9, 10, 11, 12",Traditional,-87.67948421,41.97506726,20,6,21849,106,24
"{'type': 'Point', 'coordinates': [-87.71922375095448, 41.92998860385818]}",610074,MONROE,"3651 W SCHUBERT AVE, 60647",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.71922375,41.9299886,1,23,22535,107,12
"{'type': 'Point', 'coordinates': [-87.70018447218851, 41.84774672275195]}",610184,SPRY ES,"2400 S MARSHALL BLVD, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.70018447,41.84774672,57,32,21569,262,1
"{'type': 'Point', 'coordinates': [-87.76658937770823, 41.88552958057413]}",609904,ELLINGTON,"243 N PARKSIDE AVE, 60644",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.76658938,41.88552958,32,26,22216,618,7
"{'type': 'Point', 'coordinates': [-87.67092241918914, 41.9607456925922]}",610141,RAVENSWOOD,"4332 N PAULINA ST, 60613",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.67092242,41.96074569,53,57,21186,651,18
"{'type': 'Point', 'coordinates': [-87.76560565853238, 41.89766257243138]}",609830,BRUNSON,"932 N CENTRAL AVE, 60651",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.76560566,41.89766257,5,26,4299,671,7
"{'type': 'Point', 'coordinates': [-87.81377123402886, 41.99423795046113]}",610523,EDISON PARK,"6220 N OLCOTT AVE, 60631",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.81377123,41.99423795,17,36,22243,733,29
"{'type': 'Point', 'coordinates': [-87.6192144436575, 41.73454990837352]}",610066,MCDADE,"8801 S INDIANA AVE, 60619",ES,"K, 1, 2, 3, 4, 5, 6",Traditional,-87.61921444,41.73454991,61,40,21546,428,43
"{'type': 'Point', 'coordinates': [-87.6579124923935, 41.975816530419415]}",609945,GOUDY,"5120 N WINTHROP AVE, 60640",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.65791249,41.97581653,15,31,22616,634,16
