table_name, num_of_neighbors
mbd7-jfnc.csv,10142
4cga-5i5v.csv,10006
ihfw-zy9j.csv,10002
nwjy-fdec.csv,9992
uxsm-hzx3.csv,9978
gjm4-k24g.csv,9977
xsmd-g5j6.csv,9942
gt6r-wh7c.csv,9883
8zyi-kxay.csv,9711
44t3-dj6x.csv,9688
mrxp-4hmg.csv,9686
adax-9mit.csv,9677
x4sg-2jca.csv,9615
qgea-i56i.csv,9587
4snd-in5m.csv,9572
7uuj-b95m.csv,9568
833y-fsy8.csv,9550
kiyv-ks3f.csv,9537
xmmq-y7za.csv,9519
8bug-hj9w.csv,9504
57mv-nv28.csv,9485
g4tm-nibn.csv,9460
fnzt-d3f7.csv,9457
pf3n-zn2m.csv,9454
hv9n-xgy4.csv,9453
6khm-nrue.csv,9425
sv2w-rv3k.csv,9404
irg8-quqm.csv,9291
3qem-6v3v.csv,9280
5uac-w243.csv,9271
v57i-gtxb.csv,9261
gkgs-za6m.csv,9205
mv4k-y93f.csv,9189
h6af-x63h.csv,9165
pxfd-dpcz.csv,9163
69n5-r375.csv,9154
k5ta-2trh.csv,9151
hn5i-inap.csv,9151
gpwd-npar.csv,9132
vntq-qu86.csv,9125
qem4-8xtj.csv,9113
emuv-tx7t.csv,9026
dhs7-q59e.csv,9001
chv4-k4fa.csv,9001
436j-ja87.csv,8992
xfkn-vsp9.csv,8980
3f5t-9dqu.csv,8956
35ey-ieq4.csv,8936
v575-87iz.csv,8899
i37z-2ty9.csv,8794
y4fw-iqfr.csv,8739
mib5-bwqy.csv,8641
mdbu-nrqn.csv,8621
5ucz-vwe8.csv,8592
k63t-h76x.csv,8558
cqc8-am9x.csv,8526
hu6m-9cfi.csv,8522
wjvv-6yxq.csv,8506
vdbc-pyc9.csv,8498
fsmu-8tsy.csv,8470
6jad-5sav.csv,8460
7k5d-rk33.csv,8403
cwy2-px8b.csv,8359
w9ei-idxz.csv,8322
trm8-fqqz.csv,8291
erm2-nwe9.csv,8291
b9uf-7skp.csv,8277
psqs-brte.csv,8259
bme5-7ty4.csv,8245
cp6j-7bjj.csv,8238
c5d8-ajrd.csv,8236
wz6d-d3jb.csv,8161
xqbk-beh5.csv,8159
ufzp-rrqu.csv,8132
2pmj-y4p4.csv,8127
dbpt-pbmd.csv,8087
h426-x5gi.csv,8068
sibt-hnvk.csv,8059
xx92-6788.csv,8029
nyis-y4yr.csv,8000
7ej9-npzm.csv,7989
c72z-kzbi.csv,7972
8eux-rfe8.csv,7968
5dck-9m6g.csv,7966
qz5f-yx82.csv,7960
xck4-5xd5.csv,7938
ygfr-ij6t.csv,7912
if26-z6xq.csv,7907
7crd-d9xh.csv,7867
yuzm-c784.csv,7815
j55h-3upk.csv,7783
32cj-z7va.csv,7783
a4qt-mpr5.csv,7748
suzc-ps6g.csv,7736
ynau-kwze.csv,7726
ebkm-iyma.csv,7719
xy48-7s3d.csv,7700
tn5h-i3e8.csv,7696
8nqg-ia7v.csv,7678
qa4d-xc73.csv,7669
6wy6-6agj.csv,7668
wq7m-7i29.csv,7647
54rr-tdmz.csv,7636
57p3-pdcj.csv,7632
q5hp-72f8.csv,7628
zs4w-c9cd.csv,7599
wwhr-5ven.csv,7557
avsi-2fp7.csv,7556
evjd-dqpz.csv,7542
y8bm-tzs3.csv,7516
8vwk-6iz2.csv,7514
w3w9-rtaj.csv,7511
au8p-qz8c.csv,7511
8h9b-rp9u.csv,7506
hcir-3275.csv,7497
rqjq-29wc.csv,7475
uip8-fykc.csv,7458
qvdv-dru4.csv,7447
3tfu-x2qk.csv,7364
4n6u-rqyh.csv,7314
x4ai-kstz.csv,7312
i99z-ad8n.csv,7309
sbnd-xujn.csv,7300
hq56-zhrp.csv,7297
ty7c-8rmq.csv,7280
8isn-pgv3.csv,7214
bty7-2jhb.csv,7149
2s75-2b3b.csv,7149
96ay-ea4r.csv,7077
64gx-bycn.csv,7069
9h95-gife.csv,7062
rvih-nhyn.csv,7044
r2j4-rc64.csv,7044
vg63-xw6u.csv,7015
k3cd-yu9d.csv,6994
cfzn-4iza.csv,6967
bmhe-urrg.csv,6943
7gvw-m7zn.csv,6922
c3ya-2ywy.csv,6918
99br-frp6.csv,6917
m8nr-4ivu.csv,6913
q7r2-64fm.csv,6901
9sji-jws4.csv,6898
s4kf-3yrf.csv,6867
tgrn-h24f.csv,6865
43ab-v68i.csv,6862
hxm3-23vy.csv,6828
rzd6-qsmn.csv,6811
p937-wjvj.csv,6809
vrs9-g7kz.csv,6804
77u7-ptbn.csv,6804
ge9t-ywzs.csv,6799
emnd-d8ba.csv,6788
g8e6-y4ax.csv,6776
xeg2-veq2.csv,6767
n88k-5bs4.csv,6767
efzr-wfp2.csv,6767
a8si-arxu.csv,6767
4e9g-bgra.csv,6767
ac4n-c5re.csv,6751
bheb-sjfi.csv,6678
tkzt-zfpz.csv,6636
9btm-sxj3.csv,6615
wrhz-w8mn.csv,6611
q6p2-9srw.csv,6611
59kj-x8nc.csv,6600
8znf-7b2c.csv,6598
curu-ytnp.csv,6587
s9d3-x4fz.csv,6585
735p-zed8.csv,6585
2np7-5jsg.csv,6585
itd7-gx3g.csv,6580
p6h4-mpyy.csv,6556
tre2-h8i2.csv,6551
9wwd-tgzc.csv,6539
2gcj-p28u.csv,6539
vq35-j9qm.csv,6516
74ah-8ukf.csv,6510
ghpb-fpea.csv,6475
q974-2uuf.csv,6455
gbgg-xjuf.csv,6455
ahjc-fdu3.csv,6440
vpeq-ndkd.csv,6432
uedp-fegm.csv,6415
i4ni-6qin.csv,6413
yu9n-iqyk.csv,6407
eccv-9dzr.csv,6376
pknx-dgka.csv,6372
4edb-7rb7.csv,6372
pdpg-nn8i.csv,6364
9vgx-wa3i.csv,6354
uhw3-ky8e.csv,6352
yqkf-i7a4.csv,6328
exe6-f2vx.csv,6319
vxms-daea.csv,6296
ybcb-4665.csv,6295
gi8d-wdg5.csv,6288
q5mz-t52e.csv,6282
446w-773i.csv,6278
7u63-ib3x.csv,6274
37it-gmcp.csv,6271
tb8q-a3ar.csv,6260
phth-xf25.csv,6226
f3u3-q8ea.csv,6224
pnpe-ubtz.csv,6223
qves-4x9c.csv,6210
fxs2-faah.csv,6203
5ziv-wcy4.csv,6190
wshr-5vic.csv,6171
upii-frjc.csv,6171
sf92-v8wr.csv,6134
96te-xmyw.csv,6125
t29m-gskq.csv,6122
5npv-j6gn.csv,6116
5x3g-g8de.csv,6099
4pt5-3vv4.csv,6079
jufi-gzgp.csv,6050
easq-ubfe.csv,6043
np9k-hd4i.csv,6036
2qb3-8eu4.csv,6024
ji82-xba5.csv,6023
ut9y-2ptp.csv,6019
bnea-fu3k.csv,6013
8h5p-ccrz.csv,6008
q9xk-w9iv.csv,5993
gu76-8i7h.csv,5971
ckue-grzy.csv,5962
8gg9-r4mt.csv,5962
7jpv-q9e2.csv,5959
vrku-2kif.csv,5944
fbaw-uq4e.csv,5921
hq68-rnsi.csv,5915
xffd-vsgf.csv,5906
nyuc-6mit.csv,5901
rxpf-yca2.csv,5888
b59s-jsgk.csv,5887
9z9b-6hvk.csv,5887
mrxb-9w9v.csv,5884
uwyv-629c.csv,5855
m27t-ht3h.csv,5855
d68p-5js9.csv,5848
qfs9-xn8t.csv,5845
qy7q-cb9e.csv,5821
jdn9-td9w.csv,5816
kxp8-n2sj.csv,5811
m56g-jpua.csv,5795
s79c-jgrm.csv,5773
xuid-t5nk.csv,5755
w9cy-nnma.csv,5742
fbkk-n4e3.csv,5738
2232-dj5q.csv,5695
bbg6-wf44.csv,5692
jk35-yh5p.csv,5680
rjkp-yttg.csv,5673
kdm9-vp7d.csv,5666
2upf-qytp.csv,5645
iaig-3vs5.csv,5642
9cvd-uyw6.csv,5632
tesw-yqqr.csv,5625
bzxi-2tsw.csv,5623
2yzn-sicd.csv,5618
mu46-p9is.csv,5603
3mrr-8h5c.csv,5590
khci-nhn2.csv,5570
ma5g-2458.csv,5531
43qc-8vv8.csv,5500
apih-xnk4.csv,5493
sgjd-xi99.csv,5490
m6ad-jy3s.csv,5490
iz2q-9x8d.csv,5490
ncre-qhxs.csv,5487
wed3-5i35.csv,5479
vgmz-py3h.csv,5477
thxi-frp3.csv,5475
n9yn-6q3f.csv,5475
yhdx-itry.csv,5457
e6t3-7z92.csv,5436
csps-2ne9.csv,5433
cbrh-qrk4.csv,5423
jp5w-5njc.csv,5404
jt7v-77mi.csv,5402
qkpp-pbi8.csv,5369
p3r6-jdne.csv,5361
pjwi-qd2x.csv,5353
hpid-63r5.csv,5348
2bsr-c6qq.csv,5332
q5x3-7piv.csv,5303
jup5-7fik.csv,5291
vh2h-md7a.csv,5281
kgzj-pjna.csv,5281
niy5-4j7q.csv,5277
i6bk-bwyv.csv,5266
799n-b76v.csv,5266
cma4-zi8m.csv,5251
3kav-a6u5.csv,5246
hy4q-igkk.csv,5245
huq7-iui5.csv,5245
sfvr-tcdy.csv,5239
esep-hmvs.csv,5219
kha6-7i9i.csv,5212
kmix-7hhj.csv,5207
gcvr-n8qw.csv,5202
sk7w-byju.csv,5198
56u9-ryj4.csv,5189
9n6h-pt9g.csv,5162
a6nj-cfbz.csv,5153
xx4a-msrm.csv,5151
cgwq-3ie6.csv,5142
p2d7-vcsb.csv,5125
2mvk-c2ha.csv,5122
eyb2-p5s8.csv,5117
8gpu-s594.csv,5109
vimb-anc6.csv,5092
8vgb-zm6e.csv,5077
3ub5-4ph8.csv,5075
scjj-6yaf.csv,5072
ehji-3xy2.csv,5062
qm5f-frjb.csv,5052
gsjx-zx9n.csv,5048
vfnx-vebw.csv,5040
su44-8gcn.csv,5030
augs-s4dd.csv,5029
2nwg-uqyg.csv,5028
sxmw-f24h.csv,5024
k5k6-6jex.csv,5023
gkd7-3vk7.csv,5008
5gj9-2kzx.csv,4963
2bnn-yakx.csv,4951
3btx-p4av.csv,4946
97zg-4p9t.csv,4929
bbs3-q5us.csv,4926
e9xc-u3ds.csv,4923
22rr-ujq3.csv,4919
nvgj-hbht.csv,4916
i8ys-e4pm.csv,4915
jxyc-rxiv.csv,4911
kj4p-ruqc.csv,4902
w7fs-fd9i.csv,4870
pgtq-ht5f.csv,4843
sv7x-dduq.csv,4837
y9si-s7ab.csv,4831
fudw-fgrp.csv,4819
urz7-pzb3.csv,4812
6z8x-wfk4.csv,4784
8b9a-pywy.csv,4780
utu8-j8sk.csv,4777
hvrh-b6nb.csv,4776
pkmi-4kfn.csv,4768
biws-g3hs.csv,4755
9a87-6m4x.csv,4753
ajgi-hpq9.csv,4742
7jzh-b7rq.csv,4735
e98g-f8hy.csv,4701
956m-xy24.csv,4698
6rg9-pfbz.csv,4698
i8qp-5mwu.csv,4692
fn4k-qyk2.csv,4684
rfu7-paqe.csv,4677
eyk3-bhe9.csv,4667
nhak-36my.csv,4658
b4dv-8mq4.csv,4642
2ic6-4hrf.csv,4634
4e3j-75af.csv,4615
3xsw-bpuy.csv,4613
47g8-ngxw.csv,4605
8p6c-94pc.csv,4601
wycc-5aqt.csv,4595
mf9g-zhbw.csv,4591
cspg-yi7g.csv,4584
fmf3-knd8.csv,4562
h3qk-ybvt.csv,4542
43nn-pn8j.csv,4542
8s5k-n45n.csv,4541
f3st-eexa.csv,4525
kyvb-rbwd.csv,4524
ukdt-xm28.csv,4505
n6c5-95xh.csv,4498
ymhw-9cz9.csv,4482
4bew-e6kg.csv,4482
f7b6-v6v3.csv,4481
x4ud-jhxu.csv,4478
sybh-s59s.csv,4477
9n2i-9h9s.csv,4474
pzt3-tne9.csv,4473
6wcu-cfa3.csv,4469
kvfd-bves.csv,4463
ad4c-mphb.csv,4456
6rrm-vxj9.csv,4444
72r6-mtgs.csv,4442
g6v2-wcvk.csv,4440
fp78-wt5b.csv,4436
n8p9-7jxp.csv,4435
4jus-39vu.csv,4421
xw3j-2yxf.csv,4416
un8d-rbed.csv,4409
zmut-au2w.csv,4388
rcd4-qkns.csv,4383
kr87-pum9.csv,4381
qrb4-aqtx.csv,4367
h65x-gk9r.csv,4363
7k2e-ht2j.csv,4362
p8i7-ix2s.csv,4359
dsg6-ifza.csv,4346
ia9u-k3t3.csv,4343
fijd-wye8.csv,4337
83z6-smyr.csv,4303
dvzp-h4k9.csv,4296
uk7t-q4s9.csv,4280
ge3f-inui.csv,4278
cgcg-w2ys.csv,4277
e2sz-2mmc.csv,4276
5694-9szk.csv,4271
pu45-qynj.csv,4267
tzwr-vksx.csv,4254
wtqm-fd2z.csv,4245
ptkq-bbd4.csv,4238
